15:51:02: Всего строк:  68
15:51:41: {'Kodeks': '1700789995', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:41: {'Kodeks': '1700781675', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:42: {'Kodeks': '1700785992', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:42: {'Kodeks': '1700790807', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:42: {'Kodeks': '1700786439', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:44: {'Kodeks': '1700791360', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:44: {'Kodeks': '1700775988', 'KodeksData': 'XzIzMTc0NDY0ODlfMTc5MzIwNQ=='}
15:51:45: {'Kodeks': '1700784254', 'KodeksData': 'XzMxMzczODI1OTJfMTc5MzIwNQ=='}
15:51:45: {'Kodeks': '1700789922', 'KodeksData': 'XzMxMzczODI1OTJfMTc5MzIwNQ=='}
15:51:45: {'Kodeks': '1700782206', 'KodeksData': 'XzMxMzczODI1OTJfMTc5MzIwNQ=='}
15:51:45: {'Kodeks': '1700804759', 'KodeksData': 'XzMxMzczODI1OTJfMTc5MzIwNQ=='}
15:51:51: {'Kodeks': '1700780412', 'KodeksData': 'XzMxMzczODI1OTJfMTc5MzIwNQ=='}
15:52:01: {'Kodeks': '1700780432', 'KodeksData': 'XzMxMzczODI1OTJfMTc5MzIwNQ=='}
15:52:11: {'Kodeks': '1700780413', 'KodeksData': 'XzMxMzczODI1OTJfMTc5MzIwNQ=='}
15:52:20: None
15:52:20: {'Kodeks': '1700780428', 'KodeksData': 'XzMxMzczODI1OTJfMTc5MzIwNQ=='}
